지점,지점명,일시,평균 풍속(m/s),최다 풍향(16방위)
90,속초,2018,1.9,290
90,속초,2019,1.9,270
90,속초,2020,2.1,270
93,북춘천,2018,1.4,200
93,북춘천,2019,1.2,200
93,북춘천,2020,1.3,200
95,철원,2018,1.7,200
95,철원,2019,1.2,200
95,철원,2020,1.3,200
98,동두천,2018,1.6,20
98,동두천,2019,1.4,20
98,동두천,2020,1.4,20
99,파주,2018,1.5,50
99,파주,2019,1.3,90
99,파주,2020,1.4,50
100,대관령,2018,3.5,270
100,대관령,2019,2.9,270
100,대관령,2020,3.1,270
101,춘천,2018,1.5,360
101,춘천,2019,1.3,340
101,춘천,2020,1.4,340
102,백령도,2018,3.9,320
102,백령도,2019,4,340
102,백령도,2020,4.2,340
104,북강릉,2018,1.8,160
104,북강릉,2019,1.7,160
104,북강릉,2020,1.7,270
105,강릉,2018,2.4,250
105,강릉,2019,2.4,230
105,강릉,2020,2.4,230
106,동해,2018,2.1,230
106,동해,2019,2,250
106,동해,2020,2.1,250
108,서울,2018,1.7,290
108,서울,2019,2,290
108,서울,2020,2.4,270
112,인천,2018,3.1,340
112,인천,2019,2.9,340
112,인천,2020,3.1,340
114,원주,2018,1.1,250
114,원주,2019,1,250
114,원주,2020,1.1,250
115,울릉도,2018,4.1,200
115,울릉도,2019,3.9,50
115,울릉도,2020,3.8,230
119,수원,2018,1.8,270
119,수원,2019,1.8,270
119,수원,2020,2,270
121,영월,2018,1.1,270
121,영월,2019,1.1,270
121,영월,2020,1.1,270
127,충주,2018,1.5,90
127,충주,2019,1.3,90
127,충주,2020,1.4,90
129,서산,2018,1.9,20
129,서산,2019,1.8,340
129,서산,2020,2,340
130,울진,2018,2.6,270
130,울진,2019,2.5,270
130,울진,2020,2.5,250
131,청주,2018,1.7,320
131,청주,2019,1.3,290
131,청주,2020,1.5,290
133,대전,2018,1.5,320
133,대전,2019,1.4,320
133,대전,2020,1.4,320
135,추풍령,2018,2.8,270
135,추풍령,2019,2.6,270
135,추풍령,2020,2.7,270
136,안동,2018,1.6,290
136,안동,2019,1.5,290
136,안동,2020,1.6,290
137,상주,2018,1.6,270
137,상주,2019,1.4,270
137,상주,2020,1.4,270
138,포항,2018,2.8,250
138,포항,2019,2.6,250
138,포항,2020,2.7,250
140,군산,2018,2,360
140,군산,2019,,320
140,군산,2020,2.1,320
143,대구,2018,2.2,110
143,대구,2019,2,290
143,대구,2020,2.3,290
146,전주,2018,1.7,140
146,전주,2019,1.6,140
146,전주,2020,1.6,140
152,울산,2018,2.2,340
152,울산,2019,2.1,340
152,울산,2020,2.2,340
155,창원,2018,1.6,50
155,창원,2019,1.6,50
155,창원,2020,1.6,50
156,광주,2018,1.6,50
156,광주,2019,1.5,50
156,광주,2020,1.6,50
159,부산,2018,3.2,50
159,부산,2019,3.1,50
159,부산,2020,3.2,50
162,통영,2018,2.4,360
162,통영,2019,2.3,360
162,통영,2020,2.5,360
165,목포,2018,3.4,360
165,목포,2019,3.4,360
165,목포,2020,3.6,360
168,여수,2018,3.9,70
168,여수,2019,3.8,230
168,여수,2020,3.9,50
169,흑산도,2018,5.1,360
169,흑산도,2019,5,360
169,흑산도,2020,5.4,360
170,완도,2018,2.4,320
170,완도,2019,2.3,320
170,완도,2020,2.4,320
172,고창,2018,2.7,50
172,고창,2019,2.4,320
172,고창,2020,2.8,320
174,순천,2018,1.8,320
174,순천,2019,1.9,320
174,순천,2020,2.1,290
175,진도(첨찰산),2018,4.3,360
175,진도(첨찰산),2019,,360
177,홍성,2018,1.5,20
177,홍성,2019,1.4,160
177,홍성,2020,1.6,230
184,제주,2018,3.1,360
184,제주,2019,3,320
184,제주,2020,3.1,320
185,고산,2018,,50
185,고산,2019,5.4,50
185,고산,2020,6.5,340
188,성산,2018,3.1,290
188,성산,2019,3.1,360
188,성산,2020,2.7,320
189,서귀포,2018,1.8,50
189,서귀포,2019,1.8,50
189,서귀포,2020,1.7,50
192,진주,2018,1.1,360
192,진주,2019,1,360
192,진주,2020,1,360
201,강화,2018,2,250
201,강화,2019,2,250
201,강화,2020,2,270
202,양평,2018,1.5,320
202,양평,2019,1.4,320
202,양평,2020,1.3,290
203,이천,2018,1.4,250
203,이천,2019,1.3,250
203,이천,2020,1.2,290
211,인제,2018,1.8,160
211,인제,2019,1.6,160
211,인제,2020,1.6,180
212,홍천,2018,1.2,50
212,홍천,2019,1.1,50
212,홍천,2020,1.2,70
216,태백,2018,1.6,230
216,태백,2019,1.5,230
216,태백,2020,1.5,230
217,정선군,2018,1.7,20
217,정선군,2019,1.7,20
217,정선군,2020,1.8,20
221,제천,2018,1.6,250
221,제천,2019,1.5,250
221,제천,2020,1.3,230
226,보은,2018,1.3,320
226,보은,2019,1.3,320
226,보은,2020,1.1,290
232,천안,2018,1.6,90
232,천안,2019,1.3,290
232,천안,2020,1.3,270
235,보령,2018,1.5,20
235,보령,2019,1.4,20
235,보령,2020,1.6,200
236,부여,2018,1.3,20
236,부여,2019,1.3,230
236,부여,2020,1.2,230
238,금산,2018,1.3,270
238,금산,2019,1.2,270
238,금산,2020,1.2,290
239,세종,2019,,90
239,세종,2020,1.4,290
243,부안,2018,1.7,290
243,부안,2019,1.6,290
243,부안,2020,1.6,290
244,임실,2018,1.2,320
244,임실,2019,1.3,320
244,임실,2020,1.1,320
245,정읍,2018,1.6,20
245,정읍,2019,,360
245,정읍,2020,1.6,20
247,남원,2018,1.7,20
247,남원,2019,1.6,360
247,남원,2020,1.7,70
248,장수,2018,1.7,360
248,장수,2019,1.5,360
248,장수,2020,1.5,360
251,고창군,2018,2,20
251,고창군,2019,1.5,360
251,고창군,2020,1.6,340
252,영광군,2018,2.1,360
252,영광군,2019,1.7,360
252,영광군,2020,1.7,360
253,김해시,2018,2.1,320
253,김해시,2019,2.1,320
253,김해시,2020,1.9,320
254,순창군,2018,1.4,270
254,순창군,2019,1.5,270
254,순창군,2020,1.8,270
255,북창원,2018,1.5,340
255,북창원,2019,1.3,340
255,북창원,2020,1.5,320
257,양산시,2018,2.3,230
257,양산시,2019,2.1,230
257,양산시,2020,2.2,230
258,보성군,2018,,290
258,보성군,2019,3,290
258,보성군,2020,3.2,290
259,강진군,2018,2.4,320
259,강진군,2019,2.2,320
259,강진군,2020,2.2,320
260,장흥,2018,1.8,340
260,장흥,2019,1.8,340
260,장흥,2020,1.7,340
261,해남,2018,2.1,290
261,해남,2019,2,290
261,해남,2020,,290
262,고흥,2018,1.3,340
262,고흥,2019,1.4,340
262,고흥,2020,1.5,340
263,의령군,2018,1.2,90
263,의령군,2019,1.2,340
263,의령군,2020,1.4,340
264,함양군,2018,1.2,250
264,함양군,2019,1.2,250
264,함양군,2020,1.3,250
266,광양시,2018,1.9,290
266,광양시,2019,1.8,290
266,광양시,2020,1.7,290
268,진도군,2018,2.3,360
268,진도군,2019,2.3,340
268,진도군,2020,2.6,320
271,봉화,2018,1.5,340
271,봉화,2019,1.5,340
271,봉화,2020,1.3,340
272,영주,2018,2.5,320
272,영주,2019,2.4,320
272,영주,2020,2.4,290
273,문경,2018,2,320
273,문경,2019,1.9,290
273,문경,2020,1.8,290
276,청송군,2018,1.5,270
276,청송군,2019,1.4,270
276,청송군,2020,1.5,270
277,영덕,2018,2.9,180
277,영덕,2019,2.7,180
277,영덕,2020,2.8,180
278,의성,2018,1.3,360
278,의성,2019,1.2,360
278,의성,2020,1.1,290
279,구미,2018,1.1,290
279,구미,2019,1.1,290
279,구미,2020,1.1,290
281,영천,2018,1.8,290
281,영천,2019,1.8,290
281,영천,2020,1.8,290
283,경주시,2018,2.4,180
283,경주시,2019,2.3,180
283,경주시,2020,2.6,180
284,거창,2018,1.3,270
284,거창,2019,1.3,270
284,거창,2020,1.4,250
285,합천,2018,1.3,200
285,합천,2019,1.1,200
285,합천,2020,1.1,230
288,밀양,2018,1.1,20
288,밀양,2019,1,340
288,밀양,2020,1.1,340
289,산청,2018,1.7,290
289,산청,2019,1.6,290
289,산청,2020,1.8,290
294,거제,2018,1.8,110
294,거제,2019,1.7,110
294,거제,2020,1.6,290
295,남해,2018,1.3,250
295,남해,2019,1.3,250
295,남해,2020,1.4,250
